size,algorithm,comparisons,swaps,arrayAccesses,timeNs
10,SelectionSort,45,6,123,893900
10,SelectionSortOptimized,54,6,137,15400
50,SelectionSort,1225,45,2679,145400
50,SelectionSortOptimized,1253,45,2711,108600
100,SelectionSort,4950,94,10375,314300
100,SelectionSortOptimized,5001,94,10428,305600
500,SelectionSort,124750,490,251959,4579900
500,SelectionSortOptimized,125003,488,252208,7618700
1000,SelectionSort,499500,989,1003955,4992700
1000,SelectionSortOptimized,500003,989,1004462,5459100
5000,SelectionSort,12497500,4993,25019971,21486200
5000,SelectionSortOptimized,12500001,4990,25022462,25199200
10000,SelectionSort,49995000,9991,100039963,67206100
10000,SelectionSortOptimized,50000002,9989,100044960,45581800
